文件名,预测,P(good),路径
row091_img1.webp,bad,0.0808,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row091_img1.webp
row331_img2.webp,bad,0.0766,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row331_img2.webp
row326_img2.webp,bad,0.0746,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row326_img2.webp
row348_img2.webp,bad,0.0740,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row348_img2.webp
row189_img1.webp,bad,0.0726,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row189_img1.webp
row048_img1.webp,bad,0.0701,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row048_img1.webp
row263_img2.webp,bad,0.0530,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row263_img2.webp
row039_img2.webp,bad,0.0510,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row039_img2.webp
row051_img1.webp,bad,0.0459,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row051_img1.webp
row491_img2.webp,bad,0.0455,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row491_img2.webp
row068_img1.webp,bad,0.0430,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row068_img1.webp
row470_img2.webp,bad,0.0429,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row470_img2.webp
row030_img1.webp,bad,0.0426,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row030_img1.webp
row481_img1.webp,bad,0.0388,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row481_img1.webp
row024_img1.webp,bad,0.0375,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row024_img1.webp
row238_img2.webp,bad,0.0355,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row238_img2.webp
row185_img2.webp,bad,0.0326,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row185_img2.webp
row145_img1.webp,bad,0.0311,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row145_img1.webp
row133_img1.webp,bad,0.0284,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row133_img1.webp
row473_img2.webp,bad,0.0272,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row473_img2.webp
row040_img2.webp,bad,0.0249,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row040_img2.webp
row021_img2.webp,bad,0.0246,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row021_img2.webp
row235_img2.webp,bad,0.0245,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row235_img2.webp
row186_img2.webp,bad,0.0238,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row186_img2.webp
row203_img2.webp,bad,0.0227,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row203_img2.webp
row008_img2.webp,bad,0.0211,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row008_img2.webp
row478_img1.webp,bad,0.0211,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row478_img1.webp
row093_img1.webp,bad,0.0210,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row093_img1.webp
row280_img2.webp,bad,0.0195,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row280_img2.webp
row133_img2.webp,bad,0.0192,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row133_img2.webp
row368_img2.webp,bad,0.0191,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row368_img2.webp
row062_img2.webp,bad,0.0178,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row062_img2.webp
row388_img1.webp,bad,0.0173,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row388_img1.webp
row261_img2.webp,bad,0.0170,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row261_img2.webp
row386_img1.webp,bad,0.0170,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row386_img1.webp
row174_img1.webp,bad,0.0161,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row174_img1.webp
row108_img1.webp,bad,0.0159,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row108_img1.webp
row450_img1.webp,bad,0.0144,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row450_img1.webp
row263_img1.webp,bad,0.0143,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row263_img1.webp
row283_img1.webp,bad,0.0141,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row283_img1.webp
row066_img1.webp,bad,0.0136,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row066_img1.webp
row251_img2.webp,bad,0.0128,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row251_img2.webp
row137_img1.webp,bad,0.0127,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row137_img1.webp
row198_img2.webp,bad,0.0123,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row198_img2.webp
row144_img1.webp,bad,0.0117,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row144_img1.webp
row391_img1.webp,bad,0.0114,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row391_img1.webp
row033_img2.webp,bad,0.0108,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row033_img2.webp
row291_img1.webp,bad,0.0083,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row291_img1.webp
row046_img1.webp,bad,0.0081,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row046_img1.webp
row163_img1.webp,bad,0.0080,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row163_img1.webp
row478_img2.webp,bad,0.0059,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row478_img2.webp
row287_img1.webp,bad,0.0056,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row287_img1.webp
row479_img1.webp,bad,0.0051,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row479_img1.webp
row283_img2.webp,bad,0.0051,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row283_img2.webp
row050_img1.webp,bad,0.0050,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row050_img1.webp
row111_img1.webp,bad,0.0048,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row111_img1.webp
row231_img1.webp,bad,0.0043,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row231_img1.webp
row243_img2.webp,bad,0.0043,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row243_img2.webp
row317_img1.webp,bad,0.0040,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row317_img1.webp
row232_img1.webp,bad,0.0036,D:\data\accio\douyin_Playwright\ml\data\to_predict\maozi_xhs\row232_img1.webp
