文件名,预测,P(good),路径
row002_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row002_img1.webp
row073_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row073_img1.webp
row088_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row088_img2.webp
row034_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row034_img1.webp
row120_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row120_img1.webp
row116_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row116_img2.webp
row017_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row017_img1.webp
row142_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row142_img2.webp
row107_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row107_img1.webp
row130_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row130_img2.webp
row159_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row159_img1.webp
row056_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row056_img1.webp
row044_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row044_img1.webp
row030_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row030_img1.webp
row147_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row147_img2.webp
row062_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row062_img2.webp
row077_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row077_img1.webp
row064_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row064_img1.webp
row087_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row087_img2.webp
row080_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row080_img2.webp
row105_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row105_img2.webp
row163_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row163_img2.webp
row020_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row020_img2.webp
row039_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row039_img1.webp
row002_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row002_img2.webp
row031_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row031_img1.webp
row082_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row082_img2.webp
row126_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row126_img1.webp
row029_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row029_img2.webp
row083_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row083_img2.webp
row132_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row132_img1.webp
row164_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row164_img1.webp
row054_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row054_img1.webp
row043_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row043_img2.webp
row025_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row025_img1.webp
row016_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row016_img2.webp
row158_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row158_img2.webp
row095_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row095_img1.webp
row057_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row057_img1.webp
row141_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row141_img1.webp
row155_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row155_img2.webp
row122_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row122_img1.webp
row043_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row043_img1.webp
row056_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row056_img2.webp
row061_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row061_img2.webp
row065_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row065_img1.webp
row132_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row132_img2.webp
row039_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row039_img2.webp
row152_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row152_img2.webp
row115_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row115_img1.webp
row086_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row086_img2.webp
row122_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row122_img2.webp
row156_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row156_img1.webp
row068_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row068_img2.webp
row044_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row044_img2.webp
row158_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row158_img1.webp
row012_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row012_img1.webp
row114_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row114_img1.webp
row148_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row148_img1.webp
row165_img2.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row165_img2.webp
row019_img1.webp,bad,0.0000,D:\data\accio\douyin_Playwright\ml\data\to_predict\bbm_douyin\row019_img1.webp
